Title,Year,Genre,IMDb Rating,Rotten Tomatoes Tomatometer,Metacritic Metascore,Box Office,Total Wins,Total Nominations
The Seventh Seal,1957,"Drama, Fantasy",8.1,93%,88,N/A,9,2
Room,2015,"Drama, Thriller",8.1,93%,86,"$14,677,654",108,141
Spotlight,2015,"Biography, Crime, Drama",8.1,97%,93,"$45,055,776",124,144
The Terminator,1984,"Action, Adventure, Sci-Fi",8.1,100%,84,"$38,371,200",8,7
Hotel Rwanda,2004,"Biography, Drama, History",8.1,91%,79,"$23,530,892",16,49
Platoon,1986,"Drama, War",8.1,89%,92,"$138,530,565",24,16
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",8.1,79%,63,"$305,413,918",38,104
La haine,1995,"Crime, Drama",8.1,96%,N/A,"$280,859",8,15
Jai Bhim,2021,"Crime, Drama, Mystery",8.7,100%,N/A,N/A,10,20
The Passion of Joan of Arc,1928,"Biography, Drama, History",8.1,98%,98,"$21,877",4,1
Before Sunset,2004,"Drama, Romance",8.1,94%,91,"$5,820,649",9,32
The Best Years of Our Lives,1946,"Drama, Romance, War",8.1,98%,93,"$23,650,000",21,3
The Exorcist,1973,Horror,8.1,78%,81,"$233,005,644",18,21
A Man Escaped,1956,"Drama, Thriller, War",8.2,100%,N/A,N/A,4,3
Rush,2013,"Action, Biography, Drama",8.1,88%,74,"$26,947,624",6,65
The Incredibles,2004,"Animation, Action, Adventure",8.0,,90,"$261,441,092",69,56
The Wizard of Oz,1939,"Adventure, Family, Fantasy",8.1,98%,92,"$24,668,669",13,14
Network,1976,Drama,8.1,91%,83,"$23,689,877",20,27
Stand by Me,1986,"Adventure, Comedy, Drama",8.1,92%,75,"$52,287,414",6,12
Hachi: A Dog's Tale,2009,"Biography, Drama, Family",8.1,64%,N/A,N/A,0,1
The Sound of Music,1965,"Biography, Drama, Family",8.1,83%,63,"$159,287,539",18,13
My Father and My Son,2005,"Drama, Family",8.2,,N/A,N/A,14,7
The Handmaiden,2016,"Drama, Romance, Thriller",8.1,96%,85,"$2,006,788",69,104
To Be or Not to Be,1942,"Comedy, Romance, War",8.1,96%,86,"$3,270,000",2,2
Into the Wild,2007,"Adventure, Biography, Drama",8.1,83%,73,"$18,354,356",23,106
The Battle of Algiers,1966,"Drama, War",8.1,99%,96,"$879,794",9,8
The Iron Giant,1999,"Animation, Action, Adventure",8.1,96%,85,"$23,315,035",20,18
The Grapes of Wrath,1940,Drama,8.1,100%,96,N/A,10,6
Groundhog Day,1993,"Comedy, Drama, Fantasy",8.0,94%,72,"$71,107,962",7,17
Amores Perros,2000,"Drama, Thriller",8.0,93%,83,"$5,408,467",55,24
Rebecca,1940,"Drama, Mystery, Romance",8.1,98%,86,N/A,7,10
The Help,2011,Drama,8.1,76%,62,"$169,708,112",79,121
Cool Hand Luke,1967,"Crime, Drama",8.1,100%,92,N/A,5,11
A Silent Voice: The Movie,2016,"Animation, Drama",8.1,,78,"$764,723",6,9
It Happened One Night,1934,"Comedy, Romance",8.1,98%,87,N/A,11,2
